"customer_id","country","recency","frequency","monetary","avg_order_value","unique_products","total_quantity","customer_lifetime_days","recency_score","frequency_score","monetary_score","rfm_total_score","rfm_score","business_segment"
18011,United Kingdom,374,1,102.79,102.79,28,71,0,1,1,1,3,"111",Hibernating Customers
16583,United Kingdom,374,1,233.45,233.45,14,111,0,1,1,1,3,"111",Hibernating Customers
17643,United Kingdom,374,1,101.55,101.55,8,71,0,1,1,1,3,"111",Hibernating Customers
14729,United Kingdom,374,1,313.49,313.49,69,197,0,1,2,2,5,"122",Hibernating Customers
15922,United Kingdom,374,1,369.50,369.50,11,138,0,1,2,2,5,"122",Hibernating Customers
16048,United Kingdom,374,2,256.44,128.22,8,144,0,1,2,2,5,"122",Hibernating Customers
14237,United Kingdom,374,1,161.00,161.00,9,38,0,1,1,1,3,"111",Hibernating Customers
16274,United Kingdom,374,1,357.95,357.95,64,155,0,1,2,2,5,"122",Hibernating Customers
15165,United Kingdom,374,1,487.75,487.75,27,160,0,1,2,2,5,"122",Hibernating Customers
18074,United Kingdom,374,1,489.60,489.60,13,190,0,1,2,3,6,"123",Hibernating Customers
15350,United Kingdom,374,1,115.65,115.65,5,51,0,1,1,1,3,"111",Hibernating Customers
14142,United Kingdom,374,1,311.81,311.81,22,313,0,1,2,2,5,"122",Hibernating Customers
12791,Netherlands,374,1,192.60,192.60,2,97,0,1,1,1,3,"111",Hibernating Customers
13747,United Kingdom,374,1,79.60,79.60,1,8,0,1,1,1,3,"111",Hibernating Customers
17908,United Kingdom,374,1,243.28,243.28,51,173,0,1,1,1,3,"111",Hibernating Customers
17968,United Kingdom,374,1,277.35,277.35,74,160,0,1,1,2,4,"112",Hibernating Customers
13065,United Kingdom,374,1,205.86,205.86,14,74,0,1,1,1,3,"111",Hibernating Customers
17925,United Kingdom,373,1,244.08,244.08,1,72,0,1,1,1,3,"111",Hibernating Customers
15923,United Kingdom,373,1,127.08,127.08,21,122,0,1,1,1,3,"111",Hibernating Customers
12738,Germany,373,1,155.35,155.35,11,148,0,1,1,1,3,"111",Hibernating Customers
16781,United Kingdom,373,1,311.25,311.25,17,113,0,1,2,2,5,"122",Hibernating Customers
17855,United Kingdom,373,1,208.97,208.97,17,197,0,1,1,1,3,"111",Hibernating Customers
16752,United Kingdom,373,1,207.50,207.50,9,54,0,1,1,1,3,"111",Hibernating Customers
17976,United Kingdom,373,1,353.19,353.19,56,106,0,1,2,2,5,"122",Hibernating Customers
15363,United Kingdom,373,1,326.00,326.00,16,144,0,1,2,2,5,"122",Hibernating Customers
13108,United Kingdom,373,1,350.06,350.06,10,298,0,1,2,2,5,"122",Hibernating Customers
